beta.(Intercept),beta.veg1,alpha.(Intercept),alpha.sal,alpha.twg,delta.(Intercept),delta.sal,delta.fish,delta.turb
-0.6618987,1.189378,0.936642,-0.01249963,-0.0008127775,1.100723,-0.04694031,-0.001559777,0.00246996
-1.012834,1.39876,0.936642,-0.01249963,-0.0008127775,0.866383,-0.03709288,-0.001371296,0.002333945
-1.379529,2.395191,0.9894017,-0.01507539,0.001560646,1.014206,-0.04170163,-0.00153226,0.002326218
-0.7418009,1.298565,1.289644,-0.02959162,0.006739343,1.02027,-0.03739047,-0.0009549376,0.001754074
-1.28773,2.17341,1.428583,-0.03883758,0.004079049,1.051414,-0.03512578,-0.001630696,0.00153023
-0.7177881,1.58118,1.422803,-0.04225541,-0.0001316299,1.04235,-0.03484512,-0.001515587,0.001609721
-0.7177881,1.58118,1.302463,-0.02741441,-0.0004054371,1.202652,-0.04647278,-0.001359255,0.001712237
-1.048452,1.912781,1.719479,-0.04814159,-0.003029181,1.131887,-0.04568101,-0.001532836,0.00184851
-1.002804,1.643027,1.500269,-0.0355282,-0.005118869,0.9032904,-0.03947701,-0.001180201,0.002130302
-0.786534,1.63068,1.230027,-0.03035626,0.0008885395,0.9032904,-0.03947701,-0.001180201,0.002130302
-0.3754149,1.548641,1.230027,-0.03035626,0.0008885395,1.194051,-0.03828002,-0.002139314,0.00155846
-0.3754149,1.548641,1.256616,-0.02271369,-0.0005183666,1.262364,-0.04393854,-0.002150686,0.001721888
-0.354622,1.215009,1.350925,-0.03186635,-0.002951712,0.8667855,-0.04229995,-0.001370016,0.002437371
-0.354622,1.215009,1.164641,-0.02177181,0.005085649,1.029604,-0.04184704,-0.001411689,0.001805652
-0.354622,1.215009,1.276131,-0.02950379,0.004549975,1.037971,-0.04788515,-0.001823668,0.002762719
-0.1312736,1.02836,1.404706,-0.03997375,0.0007394508,1.140731,-0.04317476,-0.001691329,0.002323025
-0.1312736,1.02836,1.545714,-0.04828686,0.000502319,1.109901,-0.0361677,-0.001049986,0.001297819
-0.1312736,1.02836,1.469744,-0.04847441,-0.001435568,1.062302,-0.04047152,-0.001164053,0.001948233
-0.8796605,1.324947,1.300477,-0.03299579,-0.003031761,0.8885269,-0.04463758,-0.001329096,0.002493167
-0.8796605,1.324947,1.188217,-0.03277286,0.001506989,0.9700598,-0.03567116,-0.001236462,0.001579692
-0.8796605,1.324947,0.9745154,-0.01914944,0.007535451,0.9517772,-0.03240444,-0.001419186,0.001815628
-0.8796605,1.324947,0.9745154,-0.01914944,0.007535451,0.9517772,-0.03240444,-0.001419186,0.001815628
-0.8796605,1.324947,1.273138,-0.03373108,0.001316423,0.9517772,-0.03240444,-0.001419186,0.001815628
-0.8796605,1.324947,1.273138,-0.03373108,0.001316423,0.9394847,-0.04644411,-0.001542805,0.002782363
0.1772838,0.7832485,1.076842,-0.01995224,-0.002539732,1.125005,-0.04012189,-0.002122371,0.001867687
-0.7874026,1.447224,1.140438,-0.02544377,0.001961513,1.125005,-0.04012189,-0.002122371,0.001867687
-0.716433,1.559563,1.140438,-0.02544377,0.001961513,0.8678045,-0.05322302,-0.001786479,0.003121588
-0.716433,1.559563,1.024766,-0.01956506,0.002601254,0.8928713,-0.04367154,-0.001552733,0.002748375
-1.285344,1.93579,1.070104,-0.01889428,0.003427296,0.9049123,-0.04705076,-0.001769447,0.003166234
-1.241167,1.925064,1.254636,-0.03976759,0.003597418,1.136958,-0.0316784,-0.001289052,0.001290245
-1.574946,2.522818,1.433498,-0.03672532,0.001861989,1.03128,-0.03939667,-0.001365357,0.002334326
-0.6597064,1.300739,1.439369,-0.04400263,-0.003282129,1.03478,-0.04000875,-0.001738445,0.002199979
-0.2003203,1.394773,1.381981,-0.04642706,0.003207212,1.03478,-0.04000875,-0.001738445,0.002199979
-1.254688,2.111201,1.333033,-0.02924497,-0.0006258815,1.178727,-0.04893676,-0.001774296,0.002320681
-0.3693647,1.141828,1.27318,-0.03369758,0.002049102,1.173888,-0.03765537,-0.001575816,0.001595502
-0.3693647,1.141828,1.33439,-0.04261612,0.01118327,1.015356,-0.03443538,-0.001463991,0.002137493
-1.004133,1.848056,1.33439,-0.04261612,0.01118327,0.9600633,-0.03259923,-0.001298776,0.001791332
-0.7009188,1.188914,1.059275,-0.01818577,0.0009556139,1.130218,-0.04225825,-0.00115581,0.001897164
-0.653366,1.111068,1.501319,-0.03257201,-0.001614187,1.107143,-0.041918,-0.00133119,0.001948301
-0.8821327,1.398674,1.188955,-0.02563383,0.00230264,1.042723,-0.03000515,-0.001220953,0.001327222
-1.043586,1.701232,1.188955,-0.02563383,0.00230264,0.9898012,-0.03773413,-0.001188315,0.001802286
-0.6518587,1.703845,1.188955,-0.02563383,0.00230264,1.088849,-0.0487431,-0.001637396,0.002264793
-0.6518587,1.703845,1.472327,-0.03577439,-0.002338583,1.11405,-0.03206244,-0.001474848,0.001467081
-1.138053,2.005794,0.9804669,-0.03158567,0.004393003,1.201368,-0.03586852,-0.001875014,0.00138078
-1.138053,2.005794,1.325297,-0.03540492,0.005434631,1.093126,-0.04937205,-0.002002385,0.002524582
-0.8892583,1.781555,1.73017,-0.0482004,-0.00961541,1.055952,-0.04835148,-0.001806397,0.002564339
-1.055566,1.937941,1.334924,-0.03336427,0.0006895221,0.9437372,-0.03924959,-0.001552743,0.002528908
-0.880218,1.944544,1.332781,-0.03047111,0.0007166754,0.9437308,-0.04005366,-0.001820716,0.002727671
-0.880218,1.944544,1.131338,-0.02970848,0.006954132,0.8601551,-0.03953235,-0.001292431,0.002433724
-1.074038,2.16926,1.281873,-0.03478868,0.002447392,1.063633,-0.03880764,-0.0009838838,0.001813331
-1.095419,2.133705,1.075754,-0.02123078,-0.003690849,1.038245,-0.03127473,-0.001600084,0.001492779
-1.079649,2.103193,1.075754,-0.02123078,-0.003690849,1.036938,-0.0407244,-0.001858747,0.002210371
-1.243717,1.729305,1.278963,-0.03089784,0.001654368,0.9669189,-0.04924351,-0.001612376,0.003149461
-0.5094733,1.681496,0.9160607,-0.01807666,0.007529998,1.092962,-0.04270616,-0.001820214,0.002199146
-0.5094733,1.681496,0.9779977,-0.0248693,0.004769231,1.04325,-0.04266348,-0.001320698,0.001914118
-0.6306677,1.043504,0.9779977,-0.0248693,0.004769231,0.967206,-0.04686133,-0.001677716,0.002727448
-0.6306677,1.043504,1.167249,-0.02412563,0.00256239,0.9156372,-0.04597328,-0.001408826,0.002602663
-0.6306677,1.043504,1.31036,-0.02610308,0.002412647,1.123947,-0.03868748,-0.001567863,0.001654784
-0.3114804,0.9934815,1.663584,-0.03418084,0.002343284,1.01308,-0.04673339,-0.00189682,0.002550088
-1.021916,1.937523,1.505103,-0.04823422,-0.00399317,1.223957,-0.03909642,-0.001463783,0.001388872
-1.059616,2.205389,1.058639,-0.02821628,0.005615032,1.00622,-0.03823875,-0.001315363,0.001886495
-1.728438,1.962741,1.659402,-0.05003287,-0.00110893,1.164882,-0.03910573,-0.001712415,0.0017564
-1.13227,2.439897,1.246173,-0.0344652,0.0007367644,1.0823,-0.03995741,-0.001819834,0.002108501
-0.9213303,1.895523,0.9507185,-0.02184895,0.004489168,1.04352,-0.03712811,-0.0007018998,0.001058128
-0.6082945,1.647898,0.9365001,-0.02235405,0.003888069,1.156785,-0.04002621,-0.001488099,0.001420186
-0.6772043,1.425833,0.9365001,-0.02235405,0.003888069,0.908953,-0.04594461,-0.00154342,0.002583395
-0.4122429,1.528484,1.422491,-0.03728665,0.001703569,0.9577105,-0.03913206,-0.001540769,0.002273532
-0.4122429,1.528484,1.325182,-0.03253509,-0.001902755,0.9577105,-0.03913206,-0.001540769,0.002273532
-0.4122429,1.528484,1.325182,-0.03253509,-0.001902755,1.041569,-0.04617142,-0.001487324,0.002502519
-0.3801897,0.6852798,1.135063,-0.02666652,0.002240089,1.037676,-0.04218867,-0.001518189,0.002355574
-0.3801897,0.6852798,1.065349,-0.02507786,0.005024867,1.109797,-0.03565658,-0.001269227,0.001250147
-0.3801897,0.6852798,1.065349,-0.02507786,0.005024867,1.133816,-0.04304292,-0.001236154,0.00160595
-0.5679387,1.292566,1.821686,-0.05714821,-0.001250182,1.071947,-0.03676562,-0.00115081,0.001548759
-0.5679387,1.292566,1.172214,-0.03740474,0.001420311,1.00368,-0.04373254,-0.001423144,0.002416852
-1.011392,1.640172,0.9832152,-0.02101887,0.0001108881,0.9459885,-0.04381274,-0.001007659,0.002381175
-1.011392,1.640172,0.9771057,-0.02740893,0.001728485,1.112302,-0.03581601,-0.0011804,0.001450184
-0.82544,1.463379,1.077753,-0.02770618,-3.747806e-05,0.9511179,-0.05027476,-0.001776235,0.002967703
-1.520758,2.136968,1.160736,-0.02481829,0.005309264,1.099852,-0.04912274,-0.00200117,0.002211719
-0.04353386,0.2512373,1.13645,-0.01294855,-0.002730676,0.931924,-0.04025747,-0.001513544,0.002447816
-0.04353386,0.2512373,1.203933,-0.03236537,-0.0004528695,1.115191,-0.04719624,-0.001686901,0.002301304
-0.04353386,0.2512373,1.177053,-0.02695438,0.00626114,0.8912426,-0.0434299,-0.001502347,0.00284967
-0.04353386,0.2512373,1.320399,-0.03332406,-0.001683197,0.8912426,-0.0434299,-0.001502347,0.00284967
-0.04353386,0.2512373,1.575333,-0.04113949,0.002596528,0.8225558,-0.04087053,-0.001205141,0.00267924
-0.8594684,2.018946,0.9658587,-0.02221011,0.006056127,0.8225558,-0.04087053,-0.001205141,0.00267924
-0.6291944,1.217135,0.9654755,-0.01863146,0.002416713,0.8225558,-0.04087053,-0.001205141,0.00267924
-0.6291944,1.217135,0.9654755,-0.01863146,0.002416713,1.030897,-0.04036594,-0.001484536,0.002009392
-0.3736686,1.173766,0.9654755,-0.01863146,0.002416713,1.038904,-0.04450501,-0.001652917,0.002342018
-1.346787,1.753303,1.173959,-0.02626716,-0.002791217,0.9707831,-0.05422782,-0.001929858,0.003043135
-0.9035858,1.940037,1.813311,-0.05573783,0.0007666005,1.146408,-0.04737372,-0.002197661,0.002144454
-0.9035858,1.940037,1.316817,-0.03421169,0.004063085,1.01606,-0.03469296,-0.001466418,0.001904574
-0.3018968,1.283234,1.090116,-0.03169486,0.002920402,1.172998,-0.03856662,-0.001615387,0.001692701
-0.3018968,1.283234,0.8632689,-0.009959637,0.004909833,1.003474,-0.03886892,-0.001108836,0.002039056
-0.2503458,1.100364,0.8632689,-0.009959637,0.004909833,0.962415,-0.04462038,-0.001224683,0.002285545
-0.2503458,1.100364,0.8632689,-0.009959637,0.004909833,0.8564877,-0.03733338,-0.001443016,0.002436444
-0.4869753,1.175248,1.591929,-0.03847814,-0.002306152,0.8564877,-0.03733338,-0.001443016,0.002436444
-0.8345003,1.306429,1.316245,-0.03043834,0.002098846,0.8564877,-0.03733338,-0.001443016,0.002436444
-0.8345003,1.306429,1.337885,-0.0424653,-0.002839937,0.9369181,-0.03746329,-0.001341399,0.002090994
-0.8345003,1.306429,1.466273,-0.04529572,-0.001267585,1.015727,-0.03785214,-0.001744798,0.002146205
-0.3748617,1.22894,1.216253,-0.03738141,0.005076961,1.015727,-0.03785214,-0.001744798,0.002146205
-0.3748617,1.22894,1.401938,-0.04023792,-0.0006565821,1.299723,-0.0426079,-0.001508441,0.001128985
-0.3748617,1.22894,1.401938,-0.04023792,-0.0006565821,0.8924346,-0.03683472,-0.001731068,0.002593048
-0.684509,1.589132,1.033748,-0.02117361,0.003614982,1.152264,-0.04993804,-0.001076876,0.002146814
-0.61583,1.619548,1.18217,-0.03027995,-0.0004131895,1.120954,-0.03792551,-0.001274925,0.001715684
-0.834811,1.35366,1.206668,-0.03056347,-0.004152248,0.964665,-0.04082875,-0.001441958,0.002508253
-0.834811,1.35366,1.024102,-0.01470754,-0.001123904,1.135757,-0.03162926,-0.001454152,0.001411524
-0.5758215,1.422462,1.024102,-0.01470754,-0.001123904,0.9594887,-0.03810934,-0.00200138,0.002377952
-0.5758215,1.422462,1.269077,-0.03277029,0.0003991717,1.066254,-0.04524295,-0.001340526,0.002089572
-0.5758215,1.422462,1.443989,-0.03591118,-0.002111388,0.9252238,-0.04680466,-0.001469607,0.002792844
-0.5758215,1.422462,1.232733,-0.03853086,0.00415957,0.9252238,-0.04680466,-0.001469607,0.002792844
-0.5758215,1.422462,1.079839,-0.01940887,0.001211869,0.9252238,-0.04680466,-0.001469607,0.002792844
-0.9616436,1.433583,1.094211,-0.009815233,0.0005885421,0.9252238,-0.04680466,-0.001469607,0.002792844
-0.9616436,1.433583,1.094211,-0.009815233,0.0005885421,0.9589019,-0.03524901,-0.001608514,0.00208214
-0.9616436,1.433583,1.228843,-0.02357406,-8.003002e-05,0.9589019,-0.03524901,-0.001608514,0.00208214
-0.9616436,1.433583,1.255953,-0.0425853,1.489415e-05,1.240871,-0.04972986,-0.001643277,0.002128464
-0.7920378,1.064701,1.295005,-0.03528087,-0.0002604596,0.8690729,-0.03965998,-0.001298981,0.002557572
-0.7920378,1.064701,1.210568,-0.03314426,0.00343093,0.8672597,-0.03786266,-0.000992037,0.00227452
-0.7920378,1.064701,1.210568,-0.03314426,0.00343093,0.976464,-0.04180457,-0.001170766,0.002308305
-0.7920378,1.064701,0.6601263,-0.0104865,0.00824893,0.9840618,-0.05797214,-0.001640573,0.003538937
-1.090568,1.675112,0.6601263,-0.0104865,0.00824893,1.196031,-0.04004449,-0.001634357,0.001564209
-0.4044543,1.553657,0.6601263,-0.0104865,0.00824893,1.128883,-0.04494489,-0.001329181,0.002016539
-0.4044543,1.553657,1.297399,-0.03499324,-0.0006991098,1.197746,-0.0441191,-0.0008800581,0.001688821
-0.4044543,1.553657,1.052974,-0.02825347,0.001232345,1.139015,-0.04007444,-0.001701247,0.001920786
